"XMean" "YActivity" "Subject"
"158" -0.317168941227201+0i "WALKING_UPSTAIRS" 2
"159" -0.571457457873943+0i "STANDING" 2
"160" -0.62382674867262+0i "STANDING" 2
"161" -0.644870217041176+0i "STANDING" 2
"162" -0.637233720699073+0i "STANDING" 2
"163" -0.647535837580125+0i "STANDING" 2
"164" -0.629641966007344+0i "STANDING" 2
"165" -0.640754282627629+0i "STANDING" 2
"166" -0.652544993504991+0i "STANDING" 2
"167" -0.649481177935668+0i "STANDING" 2
"168" -0.656096889061854+0i "STANDING" 2
"169" -0.651998371335775+0i "STANDING" 2
"170" -0.600360602196435+0i "STANDING" 2
"171" -0.63723946817779+0i "STANDING" 2
"172" -0.64550978016738+0i "STANDING" 2
"173" -0.648568494718538+0i "STANDING" 2
"174" -0.656023265976114+0i "STANDING" 2
"175" -0.656531748805882+0i "STANDING" 2
"176" -0.648722753123173+0i "STANDING" 2
"177" -0.647794755155437+0i "STANDING" 2
"178" -0.649581726638681+0i "STANDING" 2
"179" -0.647812987002697+0i "STANDING" 2
"180" -0.650839958238324+0i "STANDING" 2
"181" -0.648781875708378+0i "STANDING" 2
"182" -0.594886617587879+0i "SITTING" 2
"183" -0.615173963778253+0i "SITTING" 2
"184" -0.633001045946702+0i "SITTING" 2
"185" -0.643919269205152+0i "SITTING" 2
"186" -0.641073737535294+0i "SITTING" 2
"187" -0.634698640999109+0i "SITTING" 2
"188" -0.63671866654384+0i "SITTING" 2
"189" -0.654047135718342+0i "SITTING" 2
"190" -0.648737738463761+0i "SITTING" 2
"191" -0.651583201038859+0i "SITTING" 2
"192" -0.647882269860606+0i "SITTING" 2
"193" -0.562468074017291+0i "SITTING" 2
"194" -0.613754268321212+0i "SITTING" 2
"195" -0.626459464800089+0i "SITTING" 2
"196" -0.637402230013369+0i "SITTING" 2
"197" -0.645648615201979+0i "SITTING" 2
"198" -0.647758603745633+0i "SITTING" 2
"199" -0.642492853402674+0i "SITTING" 2
"200" -0.639538423572549+0i "SITTING" 2
"201" -0.655158989964884+0i "SITTING" 2
"202" -0.651476406718717+0i "SITTING" 2
"203" -0.649847670604456+0i "SITTING" 2
"204" -0.579366451115569+0i "LAYING" 2
"205" -0.620498907285205+0i "LAYING" 2
"206" -0.630212871964349+0i "LAYING" 2
"207" -0.638866695134225+0i "LAYING" 2
"208" -0.655273429498039+0i "LAYING" 2
"209" -0.653715462245633+0i "LAYING" 2
"210" -0.653503371977326+0i "LAYING" 2
"211" -0.642692051533922+0i "LAYING" 2
"212" -0.642754422397326+0i "LAYING" 2
"213" -0.644474294424242+0i "LAYING" 2
"214" -0.654668055670624+0i "LAYING" 2
"215" -0.59843477586934+0i "LAYING" 2
"216" -0.625769817604456+0i "LAYING" 2
"217" -0.641436858244349+0i "LAYING" 2
"218" -0.654737581468449+0i "LAYING" 2
"219" -0.652292875275829+0i "LAYING" 2
"220" -0.641728918639394+0i "LAYING" 2
"221" -0.639422263805526+0i "LAYING" 2
"222" -0.648550513099234+0i "LAYING" 2
"223" -0.641484142566667+0i "LAYING" 2
"224" -0.652395509865062+0i "LAYING" 2
"225" -0.644233012595365+0i "LAYING" 2
"226" -0.642663863100178+0i "LAYING" 2
"227" -0.64912533831426+0i "LAYING" 2
"228" -0.401733724290143+0i "WALKING" 2
"229" -0.352239336734581+0i "WALKING" 2
"230" -0.354752729513012+0i "WALKING" 2
"231" -0.376882601328271+0i "WALKING" 2
"232" -0.396462351955258+0i "WALKING" 2
"233" -0.376231061837041+0i "WALKING" 2
"234" -0.367092628102014+0i "WALKING" 2
"235" -0.383937018321123+0i "WALKING" 2
"236" -0.382034891312478+0i "WALKING" 2
"237" -0.367404138388592+0i "WALKING" 2
"238" -0.345783318982531+0i "WALKING" 2
"239" -0.369791900210945+0i "WALKING" 2
"240" -0.382556477427184+0i "WALKING" 2
"241" -0.398793969865241+0i "WALKING" 2
"242" -0.396530653231729+0i "WALKING" 2
"243" -0.347496637733333+0i "WALKING" 2
"244" -0.297854150316756+0i "WALKING" 2
"245" -0.2954748871459+0i "WALKING" 2
"246" -0.337150558909857+0i "WALKING" 2
"247" -0.369149355658734+0i "WALKING" 2
"248" -0.376212570243316+0i "WALKING" 2
"249" -0.360396060184492+0i "WALKING" 2
"250" -0.335424650122014+0i "WALKING" 2
"251" -0.307386312290196+0i "WALKING" 2
"252" -0.31134261781836+0i "WALKING" 2
"253" -0.373864449880927+0i "WALKING" 2
"254" -0.36932265219893+0i "WALKING" 2
"255" -0.378258618546881+0i "WALKING" 2
"256" -0.398286607170339+0i "WALKING" 2
"257" -0.300148414694759+0i "WALKING_DOWNSTAIRS" 2
"258" -0.298897007275936+0i "WALKING_DOWNSTAIRS" 2
"259" -0.294255831135116+0i "WALKING_DOWNSTAIRS" 2
"260" -0.248548759537219+0i "WALKING_DOWNSTAIRS" 2
"261" -0.223508289028877+0i "WALKING_DOWNSTAIRS" 2
"262" -0.27599116998984+0i "WALKING_DOWNSTAIRS" 2
"263" -0.19593426084902+0i "WALKING_DOWNSTAIRS" 2
"264" -0.172004423097487+0i "WALKING_DOWNSTAIRS" 2
"265" -0.285663949724064+0i "WALKING_DOWNSTAIRS" 2
"266" -0.245555528453832+0i "WALKING_DOWNSTAIRS" 2
"267" -0.208284255175045+0i "WALKING_DOWNSTAIRS" 2
"268" -0.203149963098948+0i "WALKING_DOWNSTAIRS" 2
"269" -0.20974304708107+0i "WALKING_DOWNSTAIRS" 2
"270" -0.179483492418699+0i "WALKING_DOWNSTAIRS" 2
"271" -0.20858340800943+0i "WALKING_DOWNSTAIRS" 2
"272" -0.23885709126738+0i "WALKING_DOWNSTAIRS" 2
"273" -0.226076309445455+0i "WALKING_DOWNSTAIRS" 2
"274" -0.133769344529768+0i "WALKING_DOWNSTAIRS" 2
"275" -0.165676329553476+0i "WALKING_DOWNSTAIRS" 2
"276" -0.238245222786773+0i "WALKING_DOWNSTAIRS" 2
"277" -0.181210226736007+0i "WALKING_DOWNSTAIRS" 2
"278" -0.180864486757326+0i "WALKING_DOWNSTAIRS" 2
"279" -0.211888164289501+0i "WALKING_DOWNSTAIRS" 2
"280" -0.358959221981105+0i "WALKING_UPSTAIRS" 2
"281" -0.365519003518895+0i "WALKING_UPSTAIRS" 2
"282" -0.380642110191105+0i "WALKING_UPSTAIRS" 2
"283" -0.391818917239091+0i "WALKING_UPSTAIRS" 2
"284" -0.396458788155258+0i "WALKING_UPSTAIRS" 2
"285" -0.406459852535651+0i "WALKING_UPSTAIRS" 2
"286" -0.391669297190018+0i "WALKING_UPSTAIRS" 2
"287" -0.386104489037968+0i "WALKING_UPSTAIRS" 2
"288" -0.362212758923529+0i "WALKING_UPSTAIRS" 2
"289" -0.323792397059715+0i "WALKING_UPSTAIRS" 2
"290" -0.356882599897929+0i "WALKING_UPSTAIRS" 2
"291" -0.381905944120677+0i "WALKING_UPSTAIRS" 2
"292" -0.37478136383779+0i "WALKING_UPSTAIRS" 2
"293" -0.367168545500713+0i "WALKING_UPSTAIRS" 2
"294" -0.340446018459305+0i "WALKING_UPSTAIRS" 2
"295" -0.354242610046346+0i "WALKING_UPSTAIRS" 2
"296" -0.339851002260606+0i "WALKING_UPSTAIRS" 2
"297" -0.337244954115615+0i "WALKING_UPSTAIRS" 2
"298" -0.35718267473369+0i "WALKING_UPSTAIRS" 2
"299" -0.348885245119287+0i "WALKING_UPSTAIRS" 2
"300" -0.37883209565246+0i "WALKING_UPSTAIRS" 2
"301" -0.3791243499518+0i "WALKING_UPSTAIRS" 2
"302" -0.371718096972852+0i "WALKING_UPSTAIRS" 2
"303" -0.502212197773797+0i "STANDING" 4
"304" -0.575614427585383+0i "STANDING" 4
"305" -0.595889883756506+0i "STANDING" 4
"306" -0.61890571596631+0i "STANDING" 4
"307" -0.611726592816578+0i "STANDING" 4
"308" -0.615082722098574+0i "STANDING" 4
"309" -0.612389965867897+0i "STANDING" 4
"310" -0.622019224265419+0i "STANDING" 4
"311" -0.645872854086613+0i "STANDING" 4
"312" -0.645701984115668+0i "STANDING" 4
"313" -0.647306590497112+0i "STANDING" 4
"314" -0.64012702884795+0i "STANDING" 4
"315" -0.641373896569804+0i "STANDING" 4
"316" -0.643625212493583+0i "STANDING" 4
"317" -0.64073200755918+0i "STANDING" 4
"318" -0.623372123754545+0i "STANDING" 4
"319" -0.584645633574866+0i "STANDING" 4
"320" -0.627459777187843+0i "STANDING" 4
"321" -0.640018746806417+0i "STANDING" 4
"322" -0.638785245920143+0i "STANDING" 4
"323" -0.637864744154296+0i "STANDING" 4
"324" -0.640836274239822+0i "STANDING" 4
"325" -0.636191762710339+0i "STANDING" 4
"326" -0.630380488362923+0i "STANDING" 4
"327" -0.636393530893226+0i "STANDING" 4
"328" -0.640857859195009+0i "STANDING" 4
"329" -0.635428237449649+0i "STANDING" 4
"330" -0.58164735949205+0i "STANDING" 4
"331" -0.601800181962745+0i "SITTING" 4
"332" -0.639617235679323+0i "SITTING" 4
"333" -0.638904287561159+0i "SITTING" 4
"334" -0.63204031181451+0i "SITTING" 4
"335" -0.646074115540285+0i "SITTING" 4
"336" -0.64368721115811+0i "SITTING" 4
"337" -0.639040620683066+0i "SITTING" 4
"338" -0.639090038265187+0i "SITTING" 4
"339" -0.639490594548841+0i "SITTING" 4
"340" -0.642232925313725+0i "SITTING" 4
"341" -0.637948273104635+0i "SITTING" 4
"342" -0.635388718367398+0i "SITTING" 4
"343" -0.608292449033581+0i "SITTING" 4
"344" -0.627717821175223+0i "SITTING" 4
"345" -0.628746059008538+0i "SITTING" 4
"346" -0.628706049386275+0i "SITTING" 4
"347" -0.635627396262032+0i "SITTING" 4
"348" -0.634344891372959+0i "SITTING" 4
"349" -0.628273253800221+0i "SITTING" 4
"350" -0.64599207976385+0i "SITTING" 4
"351" -0.625735642247542+0i "SITTING" 4
"352" -0.630463313688734+0i "SITTING" 4
"353" -0.622354562439037+0i "SITTING" 4
"354" -0.644461932430624+0i "SITTING" 4
"355" -0.526856421628841+0i "LAYING" 4
"356" -0.588063645291961+0i "LAYING" 4
"357" -0.626788874755918+0i "LAYING" 4
"358" -0.637411784892335+0i "LAYING" 4
"359" -0.64415188+0i "LAYING" 4
"360" -0.639492928293405+0i "LAYING" 4
"361" -0.640037229528877+0i "LAYING" 4
"362" -0.64474130656738+0i "LAYING" 4
"363" -0.638409945955258+0i "LAYING" 4
"364" -0.646972694738146+0i "LAYING" 4
"365" -0.642146853034581+0i "LAYING" 4
"366" -0.648919952489305+0i "LAYING" 4
"367" -0.646841886591266+0i "LAYING" 4
"368" -0.645497790474866+0i "LAYING" 4
"369" -0.651260497299679+0i "LAYING" 4
"370" -0.629447493995722+0i "LAYING" 4
"371" -0.537321369883512+0i "LAYING" 4
"372" -0.560427883045971+0i "LAYING" 4
"373" -0.629146169247772+0i "LAYING" 4
"374" -0.64446092230606+0i "LAYING" 4
"375" -0.647145943420143+0i "LAYING" 4
"376" -0.648189572937433+0i "LAYING" 4
"377" -0.647878215393209+0i "LAYING" 4
"378" -0.642695717500535+0i "LAYING" 4
"379" -0.652449847001105+0i "LAYING" 4
"380" -0.642018036833333+0i "LAYING" 4
"381" -0.645259565343007+0i "LAYING" 4
"382" -0.650863820437611+0i "LAYING" 4
"383" -0.646438114279857+0i "LAYING" 4
"384" -0.631391365891979+0i "LAYING" 4
"385" -0.475263303095365+0i "WALKING" 4
"386" -0.448854340117112+0i "WALKING" 4
"387" -0.453283235200802+0i "WALKING" 4
"388" -0.46315964747754+0i "WALKING" 4
"389" -0.440614358457219+0i "WALKING" 4
"390" -0.411497463859893+0i "WALKING" 4
"391" -0.415994823053761+0i "WALKING" 4
"392" -0.420811891554194+0i "WALKING" 4
"393" -0.428961466091622+0i "WALKING" 4
"394" -0.433333773464813+0i "WALKING" 4
"395" -0.446455214743672+0i "WALKING" 4
"396" -0.45716537303975+0i "WALKING" 4
"397" -0.455880283748485+0i "WALKING" 4
"398" -0.44202210478549+0i "WALKING" 4
"399" -0.456962234533333+0i "WALKING" 4
"400" -0.453727007223529+0i "WALKING" 4
"401" -0.44249904774189+0i "WALKING" 4
"402" -0.429024322070695+0i "WALKING" 4
"403" -0.417538604190374+0i "WALKING" 4
"404" -0.429801298231729+0i "WALKING" 4
"405" -0.431780791545276+0i "WALKING" 4
"406" -0.421234460516934+0i "WALKING" 4
"407" -0.409896085501961+0i "WALKING" 4
"408" -0.399541645576025+0i "WALKING" 4
"409" -0.409037896945633+0i "WALKING" 4
"410" -0.424727398457397+0i "WALKING" 4
"411" -0.4205732476082+0i "WALKING" 4
"412" -0.42839743422246+0i "WALKING" 4
"413" -0.448643154881818+0i "WALKING" 4
"414" -0.441577353266667+0i "WALKING" 4
"415" -0.427490100863102+0i "WALKING" 4
"416" -0.408571624370232+0i "WALKING_DOWNSTAIRS" 4
"417" -0.419637491255793+0i "WALKING_DOWNSTAIRS" 4
"418" -0.411455990663957+0i "WALKING_DOWNSTAIRS" 4
"419" -0.403436910882353+0i "WALKING_DOWNSTAIRS" 4
"420" -0.346525343840642+0i "WALKING_DOWNSTAIRS" 4
"421" -0.422734959716471+0i "WALKING_DOWNSTAIRS" 4
"422" -0.437933501497504+0i "WALKING_DOWNSTAIRS" 4
"423" -0.438192628804991+0i "WALKING_DOWNSTAIRS" 4
"424" -0.395465038276471+0i "WALKING_DOWNSTAIRS" 4
"425" -0.382123259548128+0i "WALKING_DOWNSTAIRS" 4
"426" -0.412302925982531+0i "WALKING_DOWNSTAIRS" 4
"427" -0.40010314101123+0i "WALKING_DOWNSTAIRS" 4
"428" -0.413941139069857+0i "WALKING_DOWNSTAIRS" 4
"429" -0.384898803506239+0i "WALKING_DOWNSTAIRS" 4
"430" -0.363892642034046+0i "WALKING_DOWNSTAIRS" 4
"431" -0.388664192439394+0i "WALKING_DOWNSTAIRS" 4
"432" -0.377949289721034+0i "WALKING_DOWNSTAIRS" 4
"433" -0.415525337054545+0i "WALKING_DOWNSTAIRS" 4
"434" -0.401517589941533+0i "WALKING_DOWNSTAIRS" 4
"435" -0.386870734902816+0i "WALKING_DOWNSTAIRS" 4
"436" -0.376443607406417+0i "WALKING_DOWNSTAIRS" 4
"437" -0.377207758005722+0i "WALKING_DOWNSTAIRS" 4
"438" -0.336418090400891+0i "WALKING_DOWNSTAIRS" 4
"439" -0.447858916457932+0i "WALKING_UPSTAIRS" 4
"440" -0.460690546991087+0i "WALKING_UPSTAIRS" 4
"441" -0.458740740256863+0i "WALKING_UPSTAIRS" 4
"442" -0.45011861409287+0i "WALKING_UPSTAIRS" 4
"443" -0.463943315840285+0i "WALKING_UPSTAIRS" 4
"444" -0.452757152006239+0i "WALKING_UPSTAIRS" 4
"445" -0.448845772223373+0i "WALKING_UPSTAIRS" 4
"446" -0.461326130229768+0i "WALKING_UPSTAIRS" 4
"447" -0.453095306298039+0i "WALKING_UPSTAIRS" 4
"448" -0.451722415513725+0i "WALKING_UPSTAIRS" 4
"449" -0.473574368379857+0i "WALKING_UPSTAIRS" 4
"450" -0.416583988618538+0i "WALKING_UPSTAIRS" 4
"451" -0.437500170518984+0i "WALKING_UPSTAIRS" 4
"452" -0.425096088167558+0i "WALKING_UPSTAIRS" 4
"453" -0.436194811055355+0i "WALKING_UPSTAIRS" 4
"454" -0.439204939899109+0i "WALKING_UPSTAIRS" 4
"455" -0.416249799435258+0i "WALKING_UPSTAIRS" 4
"456" -0.411483008540642+0i "WALKING_UPSTAIRS" 4
"457" -0.394387988726203+0i "WALKING_UPSTAIRS" 4
"458" -0.392174001780267+0i "WALKING_UPSTAIRS" 4
"459" -0.383132153772638+0i "WALKING_UPSTAIRS" 4
"460" -0.40269114543975+0i "WALKING_UPSTAIRS" 4
"461" -0.41103804475508+0i "WALKING_UPSTAIRS" 4
"462" -0.39889269777861+0i "WALKING_UPSTAIRS" 4
"463" -0.401612537239572+0i "WALKING_UPSTAIRS" 4
"464" -0.41148423766221+0i "WALKING_UPSTAIRS" 4
"465" -0.401211724509447+0i "WALKING_UPSTAIRS" 4
"466" -0.397547004789305+0i "WALKING_UPSTAIRS" 4
"467" -0.487586418711408+0i "STANDING" 4
"468" -0.554521875973369+0i "STANDING" 4
"469" -0.593918528689572+0i "STANDING" 4
"470" -0.60727725174918+0i "STANDING" 4
"471" -0.61236588717647+0i "STANDING" 4
"472" -0.620260525030214+0i "STANDING" 4
"473" -0.62933588810107+0i "STANDING" 4
"474" -0.628988793822638+0i "STANDING" 4
"475" -0.631561337515758+0i "STANDING" 4
"476" -0.62111501632246+0i "STANDING" 4
"477" -0.620070039649127+0i "STANDING" 4
"478" -0.610860370615258+0i "STANDING" 4
"479" -0.620537795354189+0i "STANDING" 4
"480" -0.636525680385205+0i "STANDING" 4
"481" -0.637090272503672+0i "STANDING" 4
"482" -0.636359919072727+0i "STANDING" 4
"483" -0.546441585570945+0i "STANDING" 4
"484" -0.609902047290374+0i "STANDING" 4
"485" -0.61756760194082+0i "STANDING" 4
"486" -0.628119634671907+0i "STANDING" 4
"487" -0.628629304364581+0i "STANDING" 4
"488" -0.624446124421729+0i "STANDING" 4
"489" -0.638632134038895+0i "STANDING" 4
"490" -0.637485156426738+0i "STANDING" 4
"491" -0.630327245104278+0i "STANDING" 4
"492" -0.631851376900713+0i "STANDING" 4
"493" -0.641018823293137+0i "STANDING" 4
"494" -0.645432518106239+0i "STANDING" 4
"495" -0.550269267595116+0i "SITTING" 4
"496" -0.59938489083492+0i "SITTING" 4
"497" -0.635403647141533+0i "SITTING" 4
"498" -0.639861394725561+0i "SITTING" 4
"499" -0.65509320070107+0i "SITTING" 4
"500" -0.638214166036524+0i "SITTING" 4
"501" -0.626879899242602+0i "SITTING" 4
"502" -0.619764095784135+0i "SITTING" 4
"503" -0.628416046222638+0i "SITTING" 4
"504" -0.64353022604287+0i "SITTING" 4
"505" -0.650070429186988+0i "SITTING" 4
"506" -0.646706143056774+0i "SITTING" 4
"507" -0.642965938493583+0i "SITTING" 4
"508" -0.646776651578075+0i "SITTING" 4
"509" -0.52141415854057+0i "SITTING" 4
"510" -0.613724937664528+0i "SITTING" 4
"511" -0.620443009969501+0i "SITTING" 4
"512" -0.628065563885526+0i "SITTING" 4
"513" -0.644470580949715+0i "SITTING" 4
"514" -0.642438137466667+0i "SITTING" 4
"515" -0.647961829198948+0i "SITTING" 4
"516" -0.618861458197148+0i "SITTING" 4
"517" -0.613933622724581+0i "SITTING" 4
"518" -0.59000700777697+0i "SITTING" 4
"519" -0.587280066115151+0i "SITTING" 4
"520" -0.605783103867558+0i "SITTING" 4
"521" -0.507588792489537+0i "LAYING" 4
"522" -0.598287976553832+0i "LAYING" 4
"523" -0.632765638025758+0i "LAYING" 4
"524" -0.632710324909269+0i "LAYING" 4
"525" -0.605543123644385+0i "LAYING" 4
"526" -0.592625533040642+0i "LAYING" 4
"527" -0.656224388785205+0i "LAYING" 4
"528" -0.649400781494831+0i "LAYING" 4
"529" -0.653498460569697+0i "LAYING" 4
"530" -0.642645211473244+0i "LAYING" 4
"531" -0.64781112082549+0i "LAYING" 4
"532" -0.630043737838859+0i "LAYING" 4
"533" -0.561726056598752+0i "LAYING" 4
"534" -0.621901428206595+0i "LAYING" 4
"535" -0.633852453532169+0i "LAYING" 4
"536" -0.646795113526025+0i "LAYING" 4
"537" -0.664668274586239+0i "LAYING" 4
"538" -0.662987015707843+0i "LAYING" 4
"539" -0.645147666247237+0i "LAYING" 4
"540" -0.650163981695276+0i "LAYING" 4
"541" -0.654997873634225+0i "LAYING" 4
"542" -0.648667289916453+0i "LAYING" 4
"543" -0.649022014509091+0i "LAYING" 4
"544" -0.655452372312834+0i "LAYING" 4
